Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
33,35,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15
24,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
24,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
33,35,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,15
8,33,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,33,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,1,48,45,5,4,0,0,0,0,0,0,0,0,0,0,0,16
26,41,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0,16
26,1,49,9,4,0,0,0,0,0,0,0,0,0,0,0,0,16
26,1,48,9,4,0,0,0,0,0,0,0,0,0,0,0,0,16
26,1,48,45,4,0,0,0,0,0,0,0,0,0,0,0,0,16
